2020-06-30 01:49:08,861 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 01:49:08,862 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 01:49:08,887 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 01:49:08,889 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 01:49:08,924 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input
2020-06-30 01:49:08,928 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
2020-06-30 01:49:08,930 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.071 seconds
2020-06-30 01:49:10,023 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file1, CamelFileLastModified=1593458520598, CamelFileLength=5, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input, CamelFilePath=data\input\file1, CamelFileRelativePath=file1}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1]]]
2020-06-30 01:49:10,101 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input\file2, CamelFileLastModified=1593458534383, CamelFileLength=8, CamelFileName=file2, CamelFileNameConsumed=file2, CamelFileNameOnly=file2, CamelFileParent=data\input, CamelFilePath=data\input\file2, CamelFileRelativePath=file2}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2]]]
2020-06-30 01:49:13,933 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-06-30 01:49:13,937 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 1 routes (timeout 45 seconds)
2020-06-30 01:49:13,967 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-06-30 01:49:13,968 | INFO | AbstractLogger.java 393 | Graceful shutdown of 1 routes completed in 0 seconds
2020-06-30 01:49:13,991 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.132 seconds
2020-06-30 01:49:13,997 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.064 seconds
